shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
SA_R1,9.0581178,-79.4422898,471,2227.34
SA_R1,9.0581686,-79.4422316,472,2235.87
SA_R1,9.0582077,-79.4421806,473,2242.97
SA_R1,9.0582414,-79.4421466,474,2248.26
SA_R1,9.058274,-79.4421004,475,2254.48
SA_R1,9.0583092,-79.4420638,476,2260.1
SA_R1,9.0583229,-79.4420501,477,2262.24
SA_R1,9.0583311,-79.4420408,478,2263.61
SA_R1,9.0583254,-79.4420424,479,2264.26
SA_R1,9.0583254,-79.4420419,480,2264.31
SA_R1,9.0583254,-79.4420419,481,2264.31
SA_R1,9.0583254,-79.4420419,482,2264.31
SA_R1,9.0583254,-79.4420419,483,2264.31
SA_R1,9.0583254,-79.4420419,484,2264.31
SA_R1,9.0583254,-79.4420419,485,2264.31
SA_R1,9.0583254,-79.4420419,486,2264.31
SA_R1,9.0583204,-79.4420397,487,2264.92
SA_R1,9.0583206,-79.4420399,488,2264.94
SA_R1,9.0583206,-79.4420399,489,2264.94
SA_R1,9.0583206,-79.4420399,490,2264.94
SA_R1,9.0583206,-79.4420399,491,2264.94
SA_R1,9.0583206,-79.4420399,492,2264.94
SA_R1,9.0583206,-79.4420399,493,2264.94
SA_R1,9.0583268,-79.4420365,494,2265.72
SA_R1,9.0583433,-79.4420324,495,2267.62
SA_R1,9.0583559,-79.4420162,496,2269.88
SA_R1,9.0583743,-79.4419968,497,2272.84
SA_R1,9.0584151,-79.4419705,498,2278.21
SA_R1,9.0584604,-79.4419286,499,2285.03
SA_R1,9.0585097,-79.4418824,500,2292.5
SA_R1,9.0585746,-79.4418337,501,2301.49
SA_R1,9.0586417,-79.4417855,502,2310.63
SA_R1,9.0587056,-79.4417273,503,2320.19
SA_R1,9.0587666,-79.4416623,504,2330.04
SA_R1,9.0588322,-79.441592,505,2340.66
SA_R1,9.0588945,-79.4415206,506,2351.12
SA_R1,9.0589594,-79.4414415,507,2362.41
SA_R1,9.059027,-79.441365,508,2373.68
SA_R1,9.0591009,-79.4412898,509,2385.33
SA_R1,9.0591732,-79.4412105,510,2397.19
SA_R1,9.0592479,-79.4411303,511,2409.29
SA_R1,9.0593169,-79.4410515,512,2420.85
SA_R1,9.0593826,-79.4409818,513,2431.44
SA_R1,9.0594495,-79.4409032,514,2442.83
SA_R1,9.059513,-79.4408252,515,2453.93
SA_R1,9.0595721,-79.4407541,516,2464.14
SA_R1,9.0596372,-79.4406946,517,2473.89
SA_R1,9.0596963,-79.4406324,518,2483.36
SA_R1,9.0597434,-79.4405726,519,2491.77
SA_R1,9.0597929,-79.440522,520,2499.59
SA_R1,9.0598428,-79.4404557,521,2508.73
SA_R1,9.0598932,-79.4403964,522,2517.33
SA_R1,9.0599505,-79.4403377,523,2526.39
SA_R1,9.0600029,-79.4402778,524,2535.18
SA_R1,9.0600584,-79.4402133,525,2544.58
SA_R1,9.0601143,-79.440155,526,2553.5
SA_R1,9.0601745,-79.4400968,527,2562.75
SA_R1,9.0602355,-79.4400379,528,2572.13
SA_R1,9.0602879,-79.4399792,529,2580.82
SA_R1,9.0603341,-79.439926,530,2588.59
SA_R1,9.0603726,-79.4398787,531,2595.32
SA_R1,9.0604068,-79.4398389,532,2601.12
SA_R1,9.060436,-79.4398059,533,2605.98
SA_R1,9.0604596,-79.4397805,534,2609.81
